Hot like the CPU Inc.
SKU Code,Product Name,Qty,Size,Price,Total Price
HF123,Cheese Pizza,5,Large,7.99,39.95
HF124,Pepperoni Pizza,10,Large,8.99,89.90
HF125,Quarter Pound Hot Dog,15,1/4 Lbs,1.99,29.85
HF126,Double Quarter Pound Hot Dog,8,1/2 Lbs,2.99,23.92
HF127,Sausage Egg and Cheese Biscuit,20,1 Biscuit,1.99,39.80
HF128,Chicken Biscuit,12,1 Biscuit,1.99,23.88
HF129,Bacon Egg and Cheese Biscuit,7,1 Biscuit,1.99,13.93
HF130,Veggie Burger,6,Regular,5.99,35.94
HF131,Spicy Chicken Sandwich,9,Regular,6.49,58.41
HF132,Philly Cheesesteak,12,Regular,9.99,119.88
HF133,Chicken Tenders,18,Small,6.99,125.82
HF134,French Fries,25,Large,3.99,99.75
HF135,Onion Rings,15,Regular,4.49,67.35
BF201,Scrambled Eggs,20,Plate,4.99,99.80
BF202,Bacon (4 strips),30,Plate,3.99,119.70
BF203,Sausage Patty,25,Each,2.49,62.25
BF204,Hash Browns,20,Each,1.99,39.80
BF205,Breakfast Burrito,15,Each,6.99,104.85
BF206,Pancakes (3),12,Stack,5.49,65.88
BF207,Biscuits and Gravy,10,Plate,7.99,79.90
Totals,1396.54
